province_id,latitude
1,36.9863599
2,37.7602985
3,38.6852729
4,39.52916
5,40.6503248
6,39.9207759
7,36.8865728
8,41.160506
9,37.8483767
10,39.5400798
11,40.1543234
12,38.8861265
13,38.4950867
14,40.6212099
15,37.5183407
16,40.1825734
17,40.0549886
18,40.6667691
19,40.5499106
20,37.8275892
21,37.9162222
22,41.6759327
23,38.5824771
24,39.6073429
25,39.90632
26,39.7743941
27,37.0628317
28,40.6531617
29,40.2533219
30,37.495358
31,36.2025471
32,37.9465412
33,36.7978381
34,41.006381
35,38.4192537
36,40.4558435
37,41.3680217
38,38.7219011
39,41.7078046
40,39.3303066
41,40.8216536
42,37.872734
43,39.2522508
44,38.3487153
45,38.8574402
46,37.7830345
47,37.3132581
48,37.1642053
49,38.9740786
50,38.7235072
51,38.0664691
52,40.8292569
53,40.9569617
54,40.7731834
55,41.2946149
56,37.8646916
57,41.6476377
58,39.4191717
59,41.0731403
60,40.3891816
61,41.0054605
62,39.1060641
63,37.1596239
64,38.5768902
65,38.3249599
66,39.8221974
67,41.250324
68,38.4326291
69,40.2023027
70,37.1796848
71,39.8850753
72,37.7874104
73,37.548722
74,41.4947715
75,41.0372501
76,39.9218784
77,40.5795422
78,41.1110349
79,36.7797231
80,37.2517882
81,40.8774545
