"İl düzeyinde işgücü göstergeleri, 2023",,,,,,,,,,,,,,,,,,
"Labour force indicators by province, 2023",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,(%),,,
,,"İşgücüne katılma oranı
Labour force participation rate",,,,,"İstihdam oranı     
Employment rate                 ",,,,,"İşsizlik oranı
Unemployment rate ",,,,,,
"İstatistiki bölge birimleri sınıflaması (3. Düzey)
Statistical regions (Level 3)",,"Oran
Rate",,"%95 Güven aralığı
95% Confidence intervals",,,"Oran
Rate",,"%95 Güven aralığı
95% Confidence intervals",,,"Oran
Rate",,"%95 Güven aralığı
95% Confidence intervals",,,,
,,,,"Alt sınır
Lower limit","Üst sınır
Upper limit",,,,"Alt sınır
Lower limit","Üst sınır
Upper limit",,,,"Alt sınır
Lower limit","Üst sınır
Upper limit",,,
TR834,Amasya,52.1,,48.2,55.9,,47.4,,43.8,51.1,,8.9,,7.2,10.6,,,
TR901,Trabzon,56.8,,54.3,59.4,,52.5,,49.8,55.1,,7.7,,6.4,9.0,,,
TR902,Ordu,55.1,,53.3,56.8,,50.8,,49.1,52.5,,7.7,,6.4,8.9,,,
TR903,Giresun,58.3,,55.5,61.1,,53.4,,50.4,56.3,,8.5,,6.0,10.9,,,
TR904,Rize,57.4,,54.8,60.0,,52.5,,49.8,55.1,,8.7,,6.9,10.5,,,
TR905,Artvin,57.3,,52.1,62.5,,51.4,,46.4,56.4,,10.3,,6.7,13.9,,,
TR906,Gümüşhane,51.9,,47.1,56.6,,44.5,,40.0,49.0,,14.1,,10.7,17.5,,,
TRA11,Erzurum,51.9,,48.4,55.4,,48.1,,44.3,51.8,,7.3,,5.7,9.0,,,
TRA12,Erzincan,49.1,,46.1,52.1,,45.4,,42.3,48.5,,7.5,,6.1,9.0,,,
TRA13,Bayburt,52.9,,48.5,57.3,,49.4,,44.7,54.0,,6.7,,4.4,9.0,,,
TRA21,Ağrı,48.7,,46.9,50.4,,41.5,,39.7,43.4,,14.6,,12.6,16.7,,,
TRA22,Kars,56.9,,53.9,59.9,,52.5,,49.1,55.9,,7.7,,6.0,9.5,,,
TRA23,Iğdır,55.8,,53.0,58.7,,48.0,,44.7,51.4,,14.0,,11.5,16.5,,,
TRA24,Ardahan,61.7,,57.9,65.5,,58.2,,54.4,61.9,,5.8,,4.3,7.2,,,
TRB11,Malatya,46.9,,43.5,50.4,,43.9,,40.3,47.6,,6.4,,5.0,7.9,,,
TRB12,Elazığ,47.1,,44.7,49.4,,43.3,,41.1,45.6,,7.9,,6.0,9.8,,,
TRB13,Bingöl,48.1,,45.1,51.0,,44.3,,41.1,47.4,,7.9,,6.0,9.8,,,
TRB14,Tunceli,48.8,,44.5,53.1,,45.4,,40.6,50.2,,7.0,,4.5,9.4,,,
TRB21,Van,47.5,,45.8,49.3,,38.5,,36.4,40.5,,19.1,,16.9,21.3,,,
TRB22,Muş,49.8,,45.4,54.1,,43.8,,38.9,48.6,,12.1,(1),8.6,15.6,,,
TRB23,Bitlis,47.9,(1),41.5,54.2,,42.2,(1),36.5,48.0,,11.7,(1),8.6,14.9,,,
TRB24,Hakkari,49.9,(1),44.1,55.7,,38.2,(1),32.6,43.9,,23.3,(1),18.1,28.6,,,
TRC11,Gaziantep,49.1,,47.4,50.9,,44.4,,42.6,46.3,,9.6,,8.3,10.8,,,
TRC12,Adıyaman,44.9,,41.9,47.9,,39.4,,36.6,42.2,,12.2,,9.9,14.5,,,
TRC13,Kilis,50.0,,45.9,54.0,,44.6,,40.3,48.9,,10.7,,8.1,13.4,,,
TRC21,Şanlıurfa,45.5,,43.2,47.7,,41.0,,38.7,43.3,,9.9,,8.1,11.7,,,
TRC22,Diyarbakır,40.8,,38.5,43.0,,35.9,,33.6,38.3,,11.9,,10.0,13.8,,,
TRC31,Mardin,43.5,,39.8,47.3,,39.0,,35.2,42.8,,10.5,,8.3,12.7,,,
TRC32,Batman,42.5,,38.9,46.1,,37.0,,32.9,41.1,,12.9,(1),9.3,16.6,,,
TRC33,Şırnak,42.5,,38.8,46.2,,36.9,,33.4,40.4,,13.1,,10.7,15.6,,,
TRC34,Siirt,38.5,,34.4,42.7,,35.5,,31.3,39.6,,8.0,(1),5.2,10.8,,,
,,,,,,,,,,,,,,,,,,
"Kaynak: TÜİK, İşgücü İstatistikleri",,,,,,,,,,,,,,,,,,
"Source: TURKSTAT, Labour Force Statistics",,,,,,,,,,,,,,,,,,
(1) Örnekleme ve/veya örnekleme dışı hatalardan kaynaklı olarak ilgili tahmin ihtiyatlı kullanılmalıdır.,,,,,,,,,,,,,,,,,,
(1) The estimate should be used with caution due to sampling and/or non-sampling errors.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
