"İl, medeni durum ve cinsiyete göre nüfus, 2022-2023",,,,,,,,,,,,,,,,,,,,
"Population by province, marital status and sex, 2022-2023",,,,,,,,,,,,,,,,,,,,
[15 ve daha yukarı yaştaki nüfus-Population 15 years of age and over],,,,,,,,,,,,,,,,,,,,
"Yıl
Year",İl-Provinces,Toplam-Total,,,,Hiç evlenmedi-Never married,,,,Evli-Married,,,,Boşandı-Divorced,,,,Eşi öldü-Widowed,,
,,"Toplam
Total","Erkek
Male","Kadın
Female",,"Toplam
Total","Erkek
Male","Kadın
Female",,"Toplam
Total","Erkek
Male","Kadın
Female",,"Toplam
Total","Erkek
Male","Kadın
Female",,"Toplam
Total","Erkek
Male","Kadın
Female"
,Muğla, 868 376, 440 812, 427 564,, 214 630, 129 382, 85 248,, 538 451, 272 961, 265 490,, 65 865, 31 246, 34 619,, 49 430, 7 223, 42 207
,Muş, 269 865, 137 504, 132 361,, 99 077, 56 119, 42 958,, 158 281, 78 665, 79 616,, 2 167,  997, 1 170,, 10 340, 1 723, 8 617
,Nevşehir, 248 558, 121 127, 127 431,, 61 664, 33 761, 27 903,, 159 030, 79 854, 79 176,, 10 942, 4 951, 5 991,, 16 922, 2 561, 14 361
,Niğde, 284 457, 141 454, 143 003,, 76 876, 43 933, 32 943,, 178 896, 90 055, 88 841,, 10 640, 4 933, 5 707,, 18 045, 2 533, 15 512
,Ordu, 625 703, 310 261, 315 442,, 143 308, 82 750, 60 558,, 411 504, 207 716, 203 788,, 21 561, 10 959, 10 602,, 49 330, 8 836, 40 494
,Rize, 283 582, 141 227, 142 355,, 81 371, 46 580, 34 791,, 171 192, 87 396, 83 796,, 8 378, 4 409, 3 969,, 22 641, 2 842, 19 799
,Sakarya, 858 020, 427 340, 430 680,, 233 346, 134 551, 98 795,, 535 894, 268 512, 267 382,, 35 745, 16 260, 19 485,, 53 035, 8 017, 45 018
,Samsun,1 107 991, 543 273, 564 718,, 284 832, 159 041, 125 791,, 701 752, 350 599, 351 153,, 45 211, 20 451, 24 760,, 76 196, 13 182, 63 014
,Siirt, 223 850, 113 046, 110 804,, 87 616, 47 924, 39 692,, 126 171, 63 210, 62 961,, 1 849,  789, 1 060,, 8 214, 1 123, 7 091
,Sinop, 186 311, 92 247, 94 064,, 42 252, 23 983, 18 269,, 119 191, 60 933, 58 258,, 7 661, 4 051, 3 610,, 17 207, 3 280, 13 927
,Sivas, 511 456, 254 737, 256 719,, 144 501, 81 723, 62 778,, 314 226, 159 000, 155 226,, 16 009, 7 863, 8 146,, 36 720, 6 151, 30 569
,Tekirdağ, 904 678, 460 814, 443 864,, 223 409, 137 784, 85 625,, 585 966, 293 967, 291 999,, 44 878, 21 052, 23 826,, 50 425, 8 011, 42 414
,Tokat, 487 315, 240 312, 247 003,, 123 253, 70 106, 53 147,, 309 384, 155 701, 153 683,, 15 296, 7 767, 7 529,, 39 382, 6 738, 32 644
,Trabzon, 663 296, 326 829, 336 467,, 187 775, 104 500, 83 275,, 411 223, 207 108, 204 115,, 18 660, 8 517, 10 143,, 45 638, 6 704, 38 934
,Tunceli, 72 090, 38 196, 33 894,, 22 365, 13 654, 8 711,, 40 935, 21 676, 19 259,, 3 852, 2 064, 1 788,, 4 938,  802, 4 136
,Şanlıurfa,1 336 219, 667 345, 668 874,, 472 076, 253 952, 218 124,, 800 491, 399 933, 400 558,, 19 690, 7 792, 11 898,, 43 962, 5 668, 38 294
,Uşak, 308 212, 151 884, 156 328,, 72 183, 40 986, 31 197,, 198 363, 99 421, 98 942,, 16 752, 7 865, 8 887,, 20 914, 3 612, 17 302
,Van, 770 310, 392 696, 377 614,, 281 225, 158 765, 122 460,, 453 938, 226 421, 227 517,, 7 476, 3 245, 4 231,, 27 671, 4 265, 23 406
,Yozgat, 338 815, 169 102, 169 713,, 86 890, 49 419, 37 471,, 215 335, 109 628, 105 707,, 11 352, 6 072, 5 280,, 25 238, 3 983, 21 255
,Zonguldak, 492 994, 242 918, 250 076,, 123 202, 69 586, 53 616,, 309 781, 155 852, 153 929,, 23 682, 11 605, 12 077,, 36 329, 5 875, 30 454
,Aksaray, 330 837, 164 614, 166 223,, 86 775, 49 440, 37 335,, 211 680, 106 374, 105 306,, 14 190, 6 309, 7 881,, 18 192, 2 491, 15 701
,Bayburt, 68 525, 34 894, 33 631,, 24 422, 13 570, 10 852,, 38 696, 19 931, 18 765,, 1 243,  676,  567,, 4 164,  717, 3 447
,Karaman, 206 475, 102 411, 104 064,, 55 379, 31 291, 24 088,, 129 265, 64 951, 64 314,, 9 211, 4 257, 4 954,, 12 620, 1 912, 10 708
,Kırıkkale, 228 008, 113 263, 114 745,, 61 273, 34 694, 26 579,, 139 477, 70 806, 68 671,, 10 842, 5 396, 5 446,, 16 416, 2 367, 14 049
,Batman, 431 699, 217 471, 214 228,, 170 356, 92 145, 78 211,, 242 028, 121 362, 120 666,, 4 861, 1 975, 2 886,, 14 454, 1 989, 12 465
,Şırnak, 365 421, 192 826, 172 595,, 162 023, 92 261, 69 762,, 190 350, 97 884, 92 466,, 2 967, 1 479, 1 488,, 10 081, 1 202, 8 879
,Bartın, 171 805, 84 734, 87 071,, 42 583, 23 883, 18 700,, 108 724, 54 895, 53 829,, 7 059, 3 590, 3 469,, 13 439, 2 366, 11 073
,Ardahan, 74 469, 38 708, 35 761,, 21 238, 13 044, 8 194,, 45 923, 23 554, 22 369,, 1 574,  988,  586,, 5 734, 1 122, 4 612
,Iğdır, 146 761, 75 773, 70 988,, 50 142, 29 716, 20 426,, 85 738, 43 161, 42 577,, 4 032, 1 932, 2 100,, 6 849,  964, 5 885
,Yalova, 239 095, 118 714, 120 381,, 66 145, 38 215, 27 930,, 144 011, 72 266, 71 745,, 14 417, 6 202, 8 215,, 14 522, 2 031, 12 491
,Karabük, 213 433, 106 336, 107 097,, 65 627, 37 297, 28 330,, 123 963, 62 264, 61 699,, 8 495, 4 237, 4 258,, 15 348, 2 538, 12 810
,Kilis, 107 038, 53 466, 53 572,, 31 964, 17 449, 14 515,, 66 226, 33 888, 32 338,, 2 875, 1 308, 1 567,, 5 973,  821, 5 152
,Osmaniye, 418 895, 209 714, 209 181,, 116 846, 66 860, 49 986,, 265 864, 132 926, 132 938,, 14 110, 6 622, 7 488,, 22 075, 3 306, 18 769
,Düzce, 324 415, 161 666, 162 749,, 86 775, 49 856, 36 919,, 202 704, 101 996, 100 708,, 14 037, 6 810, 7 227,, 20 899, 3 004, 17 895
"TÜİK, Adrese Dayalı Nüfus Kayıt Sistemi Sonuçları, 2023",,,,,,,,,,,,,,,,,,,,
"TurkStat, The Results of Address Based Population Registration System, 2023",,,,,,,,,,,,,,,,,,,,
Yabancı nüfus dahil edilmiştir.,,,,,,,,,,,,,,,,,,,,
Foreign population is included.,,,,,,,,,,,,,,,,,,,,
