"İl, medeni durum ve cinsiyete göre nüfus, 2022-2023",,,,,,,,,,,,,,,,,,,,
"Population by province, marital status and sex, 2022-2023",,,,,,,,,,,,,,,,,,,,
[15 ve daha yukarı yaştaki nüfus-Population 15 years of age and over],,,,,,,,,,,,,,,,,,,,
"Yıl
Year",İl-Provinces,Toplam-Total,,,,Hiç evlenmedi-Never married,,,,Evli-Married,,,,Boşandı-Divorced,,,,Eşi öldü-Widowed,,
,,"Toplam
Total","Erkek
Male","Kadın
Female",,"Toplam
Total","Erkek
Male","Kadın
Female",,"Toplam
Total","Erkek
Male","Kadın
Female",,"Toplam
Total","Erkek
Male","Kadın
Female",,"Toplam
Total","Erkek
Male","Kadın
Female"
,Isparta, 371 683, 182 428, 189 255,, 99 571, 55 639, 43 932,, 230 987, 115 688, 115 299,, 15 627, 7 200, 8 427,, 25 498, 3 901, 21 597
,Mersin,1 516 543, 752 706, 763 837,, 421 986, 240 661, 181 325,, 921 586, 461 430, 460 156,, 89 491, 38 593, 50 898,, 83 480, 12 022, 71 458
,İstanbul,12 524 750,6 199 065,6 325 685,,4 002 364,2 229 806,1 772 558,,7 263 025,3 606 228,3 656 797,, 705 408, 290 784, 414 624,, 553 953, 72 247, 481 706
,İzmir,3 701 733,1 821 958,1 879 775,, 970 187, 563 936, 406 251,,2 207 233,1 101 200,1 106 033,, 290 876, 125 693, 165 183,, 233 437, 31 129, 202 308
,Kars, 211 018, 109 363, 101 655,, 71 250, 42 078, 29 172,, 124 392, 63 279, 61 113,, 3 882, 2 048, 1 834,, 11 494, 1 958, 9 536
,Kastamonu, 330 949, 162 169, 168 780,, 75 410, 41 461, 33 949,, 212 568, 108 333, 104 235,, 12 292, 6 402, 5 890,, 30 679, 5 973, 24 706
,Kayseri,1 127 629, 559 117, 568 512,, 300 313, 171 722, 128 591,, 715 719, 357 148, 358 571,, 48 240, 21 519, 26 721,, 63 357, 8 728, 54 629
,Kırklareli, 320 106, 161 291, 158 815,, 78 148, 48 057, 30 091,, 199 214, 100 370, 98 844,, 16 983, 8 687, 8 296,, 25 761, 4 177, 21 584
,Kırşehir, 201 845, 99 590, 102 255,, 53 135, 29 779, 23 356,, 125 639, 63 530, 62 109,, 8 781, 4 393, 4 388,, 14 290, 1 888, 12 402
,Kocaeli,1 640 832, 823 809, 817 023,, 447 345, 262 189, 185 156,,1 037 635, 516 965, 520 670,, 75 459, 32 932, 42 527,, 80 393, 11 723, 68 670
,Konya,1 801 628, 886 222, 915 406,, 473 033, 264 148, 208 885,,1 153 931, 576 715, 577 216,, 71 861, 30 634, 41 227,, 102 803, 14 725, 88 078
,Kütahya, 481 772, 236 579, 245 193,, 115 517, 65 940, 49 577,, 309 460, 155 418, 154 042,, 18 512, 9 012, 9 500,, 38 283, 6 209, 32 074
,Malatya, 589 150, 294 928, 294 222,, 173 858, 97 182, 76 676,, 360 095, 182 835, 177 260,, 19 846, 9 359, 10 487,, 35 351, 5 552, 29 799
